"%s was added to your shopping cart.","%s được thêm vào giỏ hàng."
"%s was updated in your shopping cart.","%s được cập nhật vào giỏ hàng."
"* Required Fields","* Trường được yêu cầu"
"Add New Address","Thêm địa chỉ mới"
"Add New Condition","Thêm điều kiện mới"
"Add coupon code for shopping cart","Thêm coupon cho giỏ hàng"
"Add gift messages to shopping cart","Thêm thông điệp gift cho giỏ hàng"
"Add product to shopping cart","Thêm sản phẩm cho giỏ hàng"
"Add product(s) to shopping cart","Thêm sản phẩm cho giỏ hàng"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Compare","Thêm vào compare"
"Add to Wishlist","Thêm vào Wishlist"
"Additional Product Info","Thông tin sản phẩm bổ sung"
"Address","Địa chỉ"
"Address %s of %s","Địa chỉ %s của %s"
"After Adding a Product Redirect to Shopping Cart","Sau khi thêm một sản phẩm thì chuyển hướng tới giỏ hàng"
"Allow Guest Checkout","Cho phép khách hàng đăng xuất"
"Already registered?","Đã sẳn sàng đăng ký chưa?"
"An error occurred in the process of payment","Lỗi đã xuất hiện khi xử lý việc chi trả"
"An error occurred while deleting this condition.","Lỗi đã xuất hiện khi xóa điều kiện này."
"An error occurred while saving this condition.","Lỗi xuất hiện khi lưu điều kiện này."
"Apply Coupon","Áp dụng Coupon"
"Are you sure you would like to remove this item from the shopping cart?","Bạn có chắc là bạn sẽ gỡ bỏ item này khỏi giỏ hàng?"
"Back","Trở lại"
"Back to Billing Information","Trở lại thông tin thanh tóan"
"Back to Select Addresses","Trở lại để chọn địa chỉ"
"Back to Shipping Information","Trở lại thông tin vận chuyển"
"Back to Shopping Cart","Trở lại giỏ hàng"
"Based on your selection, you may be interested in the following items:","Dựa trên chọn lựa của bạn, Bạn sẽ thích những item sau:"
"Billing Address","Địa chỉ thanh tóan"
"Billing Information","Thông tin thanh tóan"
"Billing Information - %s","Thông tin thanh tóan - %s"
"Cancel Coupon","Hủy phiếu giảm giá"
"Cannot add item to the shopping cart.","Không thể thêm item vào giỏ hàng."
"Cannot add the item to shopping cart","Không thể thêm item vào giỏ hàng"
"Cannot add the item to shopping cart.","Không thể thêm item vào giỏ hàng."
"Cannot apply the coupon code.","Không thể áp dụng coupon."
"Cannot configure product.","Không thể cấu hình sản phẩm."
"Cannot open the overview page","Không thể mở trang tổng quan"
"Cannot process the item.","Không thử xử lý item này."
"Cannot remove the item.","Không thể gỡ bỏ item này."
"Cannot update shopping cart.","Không thể cập nhật giỏ hàng."
"Cannot update the item.","Không thể cập nhật item."
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Cart Product API","Cart Product API"
"Cart Subtotal:","Tổng giá trị giỏ hàng:"
"Change","Thay đổi"
"Change Billing Address","Thay đổi địa chỉ thanh tóan"
"Checkbox Text","Checkbox Text"
"Checkout","Thanh tóan"
"Checkout Conditions","Điều kiện thanh tóan"
"Checkout Method","Phương thức thanh tóan"
"Checkout Options","Tùy chọn thanh tóan"
"Checkout Progress Wrapper","Checkout Progress Wrapper"
"Checkout Section","Mục thanh tóan"
"Checkout Terms and Conditions","Điều khỏan và điền kiện thanh tóan"
"Checkout as Guest","Thanh tóan như là khách"
"Checkout as a Guest or Register","Thanh tóan như là khách hoặc người đăng ký"
"Checkout with Multiple Addresses","Thanh tóan với nhiều địa chỉ"
"City","Thàhh phố"
"Clear Shopping Cart","Xóa giỏ hàng"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target=\'_blank\'"">ở đây để in</a> một bản sao xách nhận hóa đơn của bạn."
"Click <a href=""%s"">here</a> to continue shopping.","Click <a href=""%s"">ở đây</a> để tiếp tục mua hàng."
"Close","Đóng"
"Company","Công ty"
"Condition Name","Tên điều kiện"
"Configurable Product Image","Hình sản phẩm Configurable "
"Configure Cart Item","Configure Cart Item"
"Confirm Password","Xác nhận Password"
"Content","Nội dung"
"Content Height","Chiều cao nội dung"
"Content Height (css)","Chiều cao nội dung(css)"
"Continue","Tiếp tục"
"Continue Shopping","Tiếp tục mua hàng"
"Continue to Billing Information","Tiếp tục thông tin thanh tóan"
"Continue to Review Your Order","Tiếp tục để xem là hóa đơn của bạn"
"Continue to Shipping Information","Tiếp tục thông tin vận chuyển"
"Country","Quốc gia"
"Coupon code ""%s"" is not valid.","Mã Coupon ""%s"" không đúng."
"Coupon code ""%s"" was applied.","Mã Coupon ""%s"" được áp dụng."
"Coupon code was canceled.","Mã Coupon bị hủy."
"Create Billing Address","Tạo địa chỉ thanh tóan "
"Create Shipping Address","Tạo địa chỉ vận chuyển"
"Create an order from shopping cart","Tạo ra hóa đơn từ giỏ hàng"
"Create shopping cart","Tạo ra giỏ hàng"
"Customer Address is not valid.","Địa chỉ khách hàng không hợp lệ."
"Customer Information","Thông tin khách hàng"
"Customer's information","Thông tin khách hàng"
"Data saving problem","Gặp trở ngại khi lưu dữ liệu"
"Default Billing","Thanh tóan mặc định"
"Default Shipping","Vận chuyển mặc định"
"Delete Condition","Xóa điều kiện"
"Details","Chi tiết"
"Disabled","Vô hiệu hóa"
"Discount Codes","Mã giảm giá"
"Display Cart Summary","Display Cart Summary"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Display item quantities","Hiển thi số lượng item"
"Display number of items in cart","Hiển thi số item trong giỏ hàng"
"Display number of items in wishlist","Hiển thi số item trong wishlist"
"Easy access to your order history and status","Dễ dàng truy cập tới trạng thái và lịch sử đơn hàng của bạn"
"Edit","Sửa"
"Edit Address","Sửa địa chỉ"
"Edit Billing Address","Sửa địa chỉ thanh tóan"
"Edit Condition","Sửa điều kiện"
"Edit Items","Sửa Items"
"Edit Shipping Address","Sửa địa chỉ vận chuyển"
"Edit Terms and Conditions","Sửa điều khỏan và điều kiện"
"Edit Your Cart","Sửa giỏ hàng của bạn"
"Edit item","Sửa item"
"Edit item parameters","Sử thông số của item"
"Email Address","Địa chỉ email"
"Enable Onepage Checkout","Cho phép tính năng thanh tóan một trang"
"Enable Terms and Conditions","Cho phép điều khỏan và điều kiện"
"Enabled","Cho phép"
"Enter a New Address","Nhập vào địa chỉ"
"Enter your coupon code if you have one.","Nhập vào mã coupon nếu bạn có mã."
"Enter your destination to get a shipping estimate.","Nhập vào nơi đến để có được một ước tính vẩn chuyển."
"Estimate Shipping and Tax","Ướt tính vận chuyển và thuế"
"Excl. Tax","Trừ thuế"
"Fast and easy check out","Nhanh và dễ dàng thanh tóan"
"Fax","Fax"
"Forgot an Item?","Quên một item?"
"Forgot your password?","Quên mật khẩu của bạn?"
"Get a Quote","Get a Quote"
"Get list of available payment methods","Lấy danh sách các phương thức thanh tóan có sẳn"
"Get list of available shipping methods","Lấy danh sách các phương thức vận chuyển có sẳn"
"Get list of products in shopping cart","Lấy danh sách các sản phẩm trong giỏ hàng"
"Get terms and conditions","Lấy điều khỏan và điều kiện"
"Get total prices for shopping cart","Lấy ra tổng tiền của giỏ hàng"
"Gift Message","Thông địep Gift"
"Grand Total:","Tổng cộng:"
"Grouped Product Image","Hình ảnh Grouped Product"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Bao gồm thuế"
"Invalid checkout type.","Lọai thanh tóan không hợp lệ."
"Invalid data.","Dữ liệu không hợp lệ."
"Invalid email address ""%s""","Địa chỉ email không hợp lệ ""%s"""
"Invalid method: %s","Phương thức không hợp lệ: %s"
"Invalid shipping method.","Phương thức vận chuyển không hợp lệ."
"Item not found or already ordered","Item không tìm thấy hoặc đã được đặt hàng"
"Items","Items"
"Items After","Items sau khi"
"Items Before","Items trước khi"
"Load customer quote error","Load customer quote error"
"Loading next step...","Tải bướt kế tiếp..."
"Login","Đăng nhập"
"Login/Registration Before","Đăng nhập/Đăng ký trước"
"Manage Terms and Conditions","Quản lý điều khỏan và điều kiện"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Số lượng tối đa được phép để vận chuyển tới nhiều địa chỉ là %s"
"Minimum order amount is %s","Số lượng đơn hàng tối thiểu là %s"
"Move","Di chuyển"
"Move to Wishlist","Di chuyển tới Wishlist"
"Multishipping Checkout","Thanh tóan Multishipping"
"Multishipping Checkout Address (Any) Form","Mẫu địa chỉ(bất kỳ) thanh tóan Multishipping"
"Multishipping Checkout Billing Address Creation","Multishipping Checkout Billing Address Creation"
"Multishipping Checkout Billing Address Edit Form","Multishipping Checkout Billing Address Edit Form"
"Multishipping Checkout Billing Address Selection","Multishipping Checkout Billing Address Selection"
"Multishipping Checkout Billing Information Step","Multishipping Checkout Billing Information Step"
"Multishipping Checkout Customer Address Edit Form","Multishipping Checkout Customer Address Edit Form"
"Multishipping Checkout Overview","Multishipping Checkout Overview"
"Multishipping Checkout Shipping Address Creation","Multishipping Checkout Shipping Address Creation"
"Multishipping Checkout Shipping Address Edit Form","Multishipping Checkout Shipping Address Edit Form"
"Multishipping Checkout Shipping Address Selection","Multishipping Checkout Shipping Address Selection"
"Multishipping Checkout Shipping Information Step","Multishipping Checkout Shipping Information Step"
"Multishipping Checkout Success","Multishipping Checkout Success"
"My Cart","Gỉo hàng của tôi"
"My Cart (%s item)","Giỏ hàng của tôi (%s item)"
"My Cart (%s items)","Giỏ hàng của tôi(%s items)"
"My Cart Link","Kết nối tới giỏ hàng của tôi"
"New Address","Địa chỉ mới"
"New Condition","Điều kiện mới"
"New Terms and Conditions","Thuật ngữ và điều kiện mới"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","TỔNG GIÁ TRỊ HÓA ĐƠN SẼ ĐƯỢC HIỂN THỊ TRƯỚC KHI GỞI HÓA ĐƠN"
"One Page Checkout","Thanh tóan một trang"
"One Page Checkout Failure","Thất bại khi thanh tóan trên một trang"
"One Page Checkout Overview","Tổng quan về thanh tóan trên một trang"
"One Page Checkout Success","Thành công khi thanh tóan trên một trang"
"One item of products do not have identifier or sku","Một mục của sản phẩm không có định danh hoặc sku"
"One item of products is not belong any of quote item","One item of products is not belong any of quote item"
"Order #","Hóa đơn #"
"Order Review","Xem lại hóa đơn"
"Order Success","Đặt hàng thành công"
"Order place error.","Đặt hàng bị lỗi."
"Other Items in Your Order","Item khác trong hóa đơn của bạn"
"Overview Items After","Overview Items After"
"Password","Mật khẩu"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Thông tin thanh tóan"
"Payment Method","Phương thức thanh tóan"
"Payment Methods After Checkout Button","Phương thức thanh tóan sau nút Checkout"
"Payment Methods Before Checkout Button","Phương thức thanh tóan trước nút Checkout"
"Payment method information","Thông tin phương thức thanh tóan"
"Payment method is not defined","Phương thức thanh tóan không được định nghĩa"
"Payment methods in shopping cart","Phương thức thanh tóan trong giỏ hàng"
"Payment profile # %s: ""%s"".","Thông tin thanh tóan # %s: ""%s""."
"Place Order","Đặt hàng"
"Please agree to all Terms and Conditions before placing the order.","Xin vui lòng đồng ý tất cả các điều khỏan và điều kiện trước khi đặt hàng."
"Please agree to all Terms and Conditions before placing the orders.","Xin vui lòng đồng ý tất cả các điều khỏan và điều kiện trước khi đặt hàng."
"Please agree to all the terms and conditions before placing the order.","Xin vui lòng đồng ý tất cả các điều khỏan và điều kiện trước khi đặt hàng."
"Please check billing address information.","Xin vui lòng kiểm tra thông tin về địa chỉ thanh tóan."
"Please check shipping address information.","Xin vui lòng kiểm tra thông tin về địa chỉ vận chuyển."
"Please check shipping addresses information.","Xin vui lòng kiểm tra thông tin về địa chỉ vận chuyển."
"Please choose to register or to checkout as a guest","Xin vui lòng chọn người đăng ký hoặc là thanh tóan như là khách"
"Please log in below:","Xin vui lòng đăng nhập vào ô bên dưới:"
"Please select region, state or province","Xin vui lòng chọn vùng, bang hoặc tỉnh"
"Please select shipping address for applicable items","Xin vui lòng chọn địa chỉ vận chuyển cho một item phù hợp"
"Please select shipping methods for all addresses","Xin vui lòng chọn phương thức vận chuyển cho tất cả địa chỉ"
"Please select valid payment method.","Xin vui lòng chọn phương thức thanh tóan hợp lệ."
"Please specify payment method.","Xin vui lòng xác định phương thức thanh tóan."
"Please specify shipping method.","Xin vui lòng xác định phương thức vận chuyển."
"Please specify shipping methods for all addresses.","Xin vui lòng xác định phương thức vận chuyển cho tất cả địa chỉ."
"Price","Giá "
"Tiến hành thanh tóan",""
"Product","Sảnp phẩm"
"Product Name","Tên sản phẩm"
"Products","Sản phẩm"
"Qty","Số lượng"
"Qty:","Số lượng:"
"Quantity was recalculated from %d to %d","Số lượng được tính tóan lại từ %d đến %d"
"Quote Lifetime (days)","Quote Lifetime (days)"
"Quote item does not exist.","Quote item does not exist."
"Quote item is not found.","Quote item is not found."
"Recently added item(s)","Recently added item(s)"
"Register","Đăng ký"
"Register and save time!","Đăng ký và tiết kiệm thời gian!"
"Register to Create an Account","Đăng ký để tạo một tài khỏan"
"Register with us for future convenience:","Đăng ký với chúng tôi cho những tiện ích trong tương lai:"
"Remove Item","Gỡ bỏ Item"
"Remove This Item","Gỡ bỏ Item này"
"Remove coupon code from shopping cart","Gỡ bỏ mã coupon từ giỏ hàng này"
"Remove item","Gỡ bỏ Item"
"Remove product from shopping cart","Gỡ bỏ sản phẩm từ giỏ hàng"
"Remove product(s) from shopping cart","Gỡ bỏ nhiều sản phẩm từ giỏ hàng"
"Require Customer To Be Logged In To Checkout","Yêu cầu khách hàng phải đăng nhập để thanh tóan"
"Retrieve information about shopping cart","Lấy thông tin về giỏ hàng"
"Review Order","Xem lại hóa đơn"
"Review Order - %s","Xem lại hóa đơn - %s"
"Sales","Mua bán"
"Save Condition","Lưu lại điều kiện"
"Save in address book","Lưu trong address book"
"See price before order confirmation.","Xem giá trước khi xác nhận hóa đơn."
"Select Address","Chọn địa chỉ"
"Select Addresses","Chọn địa chỉ"
"Select Shipping Method","Chọn phương thức vận chuyển"
"Select State/Province...","Chọn Bang/Tỉnh..."
"Select a billing address from your address book or enter a new address.","Chọn một địa chỉ thanh tóan từ address book hoặc nhập một địa chỉ mới."
"Select a shipping address from your address book or enter a new address.","Chọn một địa chỉ thanh tóan từ address book hoặc nhập một địa chỉ mới."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send To","Gởi đến"
"Separate by "","".","Phân cách bởi "",""."
"Set customer for shopping cart","Gán khách hàng tới giỏ hàng"
"Set customer's addresses in shopping cart","Gán địa chỉ khách hàng tới giỏ hàng"
"Set payment method","Gán phương thức thanh tóan"
"Set shipping method","Gán phương thức vận chuyển"
"Ship to Multiple Addresses","Vận chuyển tới nhiều địa chỉ"
"Ship to different address","Vận chuyển tới nhiều địa chỉ khách nhau"
"Ship to this address","Vận chuyển tới địa chỉ này"
"Shipping Address","Địa chỉ vận chuyển"
"Shipping Information","Thông tin vận chuyển"
"Shipping Method","Phương thức vận chuyển"
"Shipping Methods","Phương thức vận chuyển"
"Shipping To","Vận chuyển tới"
"Shipping information","Thông tin vận chuyển"
"Shipping method has not been selected yet","Phương thức vận chuyển chưa được chọn"
"Shipping methods in shopping cart","Phương thức vận chuyển trong giỏ hàng"
"Shipping selection is not applicable.","Chọn phương thức vận chuyển không phù hợp."
"Shopping Cart","Giỏ hàng"
"Shopping Cart Form Before","Trước Form giỏ hàng"
"Shopping Cart Sidebar","Sidebar của giỏ hàng"
"Shopping Cart Sidebar Extra Actions","Shopping Cart Sidebar Extra Actions"
"Shopping Cart is Empty","Giỏ hàng rỗng"
"Shopping cart ability to set coupon code","Khả năng giỏ hàng thiết lập mã coupon"
"Show Content as","nội dung hiển thị là"
"Some of the requested products are not available in the desired quantity.","Một số các sản phẩm được yêu cầu không có sẳn số lượng mong muốn"
"Some of the requested products are unavailable.","Một số các sản phẩm dược yêu cầu không có sẳn."
"Some products quantities were recalculated because of quantity increment mismatch","Một số lượng sản phẩm được tính toán lại vì không phù hợp tăng số lượng"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Xin lỗi, Thanh tóan Guest không được kích họat. Xin vui lòng thử lại hoặc liên hệ store owner."
"Sorry, guest checkout is not enabled. Please try again or contact the store owner.","Xin lỗi, Thanh tóan Guest không được kích họat. Xin vui lòng thử lại hoặc liên hệ store owner."
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"State/Province","Bang/Tỉnh"
"Status","Trạng thái"
"Store View","Store View"
"Street Address","Địa chỉ đường"
"Street Address %s","Địa chỉ đường %s"
"Submitting order information...","Gởi thông tin hóa đơn..."
"Subtotal","Subtotal"
"Subtotal must exceed minimum order amount","Subtotal must exceed minimum order amount"
"Telephone","Điện thọai"
"Terms and Conditions","Điều khỏan và điều kiện"
"Terms and Conditions Information","Thông tin điều khỏan và điều kiện"
"Terms and conditions","Điều khỏan và điều kiện"
"Text","Text"
"Thank you for your purchase!","Cảm ơn bạn đã mua hàng!"
"The condition has been deleted","Điều kiện đã được xóa"
"The condition has been saved.","Điều kiện đã được lưu."
"The onepage checkout is disabled.","Thanh tóan onepage bị vô hiệu."
"The product could not be found.","Không tìm thấy sản phẩm."
"The product does not exist.","Sản phẩm không tồn tại."
"There are <a href=""%s"">%s items</a> in your cart.","Có <a href=""%s"">%s items</a> trong giỏ hàng."
"There is <a href=""%s"">1 item</a> in your cart.","Có <a href=""%s"">1 item</a> trong giỏ hàng."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Có một khách hàng đã đăng ký sử dụng email này. Xin vui lòng đăng nhập sử dụng địa chỉ email này hoặc nhập vào nhiều địa chỉ email khác nhau để đăng ký tài khỏan của bạn."
"There was an error processing your order. Please contact us or try again later.","Có một lỗi xử lý đơn hàng của bạn. Xin vui lòng liên hệ với chúng tôi hoặc thử lại lại sau."
"This condition no longer exists.","Điều kiện này không tồn tại."
"Total","Tổng giá trị"
"Total for this address","Tổng giá trị cho địa chỉ này"
"Unable to set Payment Method.","Không thể thiết lập phương thức thanh tóan."
"Unit Price","Unit Price"
"Update Cart","Cập nhật giỏ hàng"
"Update Qty &amp; Addresses","Cập nhật số lượng và địa chỉ"
"Update Shopping Cart","Cập nhật giỏ hàng"
"Update Total","Cập nhật tổng giá trị"
"Update product quantities in shopping cart","Cập số lượng sản phẩm trong giỏ hàng"
"Update product(s) quantities in shopping cart","Cập nhật số lượng nhiều sản phẩm trong giỏ hàng"
"Use Billing Address","Dùng địa chỉ thanh tóan"
"VAT Number","Số VAT"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress."
"What's this?","What's this?"
"You have no items in your shopping cart.","Bạn không có item nào trong giỏ hàng."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Bạn sẽ nhận được một email xác nhận đơn đặt hàng với các chi tiết đặt hàng của bạn và một liên kết theo dõi tiến độ của nó."
"Your Checkout Progress","Tiến độ thanh tóan của bạn"
"Your billing agreement # is: %s.","Đồng ý thanh tóan là: %s."
"Your order # is: %s.","Hóa đơn của bạn là: %s."
"Your order cannot be completed at this time as there is no payment methods available for it.","Đơn hàng của bạn không thể hòan thành ở thời điểm này vì không có phương thức thanh tóan."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Đơn hàng không thể hòan thành ở thời điểm hiện tại vì không có phương thức vận chuyển. Hãy thực hiện các thay đổi cần thiết trong địa chỉ vận chuyển của bạn."
"Your order has been received.","Đã nhận hóa đơn của bạn."
"Your order number is ","Số hóa đơn của bạn là "
"Your recurring payment profiles:",""
"Zip/Postal Code","Zip/Postal Code"
