" Copy"," Copy"
"Action","Action"
"Add New Template","Add New Template"
"Add to Queue","Add to Queue"
"Allow Guest Subscription","Allow Guest Subscription"
"An error occurred while saving your subscription.","Một lỗi đã xuất hiện khi lưu lại việc đăng ký của bạn."
"Are you sure that you want to delete this template?","Bạn có chắc rằng bạn muốn xóa template này?"
"Are you sure that you want to strip all tags?","Bạn có chắc rằng bạn muốn gỡ bỏ tất cả tags?"
"Back","Back"
"Cancel","Cancel"
"Cancelled","Cancelled"
"Cannot mark as received subscriber.","Cannot mark as received subscriber."
"Confirmation Email Sender","Xác nhận đã gửi email"
"Confirmation Email Template","Confirmation Email Template"
"Confirmation request has been sent.","Xác nhận yêu cầu đã được gửi."
"Convert to Plain Text","Convert to Plain Text"
"Create Newsletter Template","Create Newsletter Template"
"Customer","Khách hàng"
"Customer First Name","Tên khách hàng"
"Customer Last Name","Họ khách hàng"
"Customer My Account Newsletter Subscriptions","Customer My Account Newsletter Subscriptions"
"Date Added","Ngày được thêm"
"Date Updated","Ngày được cập nhật"
"Delete","Xóa"
"Delete Selected Problems","Delete Selected Problems"
"Delete Template","Delete Template"
"Do you really want to cancel the queue?","Do you really want to cancel the queue?"
"Duplicate template code.","Duplicate template code."
"Edit Newsletter","Edit Newsletter"
"Edit Newsletter Template","Edit Newsletter Template"
"Edit Queue","Edit Queue"
"Edit Template","Edit Template"
"Email","Email"
"Enter your email address","Nhập địa chỉ email của bạn"
"Error Code","Error Code"
"Error Text","Error Text"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Guest"
"ID","ID"
"Invalid queue selected.","Invalid queue selected."
"Invalid subscription ID.","Invalid subscription ID."
"Invalid subscription confirmation code.","Mã xác nhận đăng ký không hợp lệ."
"Message","Message"
"Need to Confirm","Cần phải được xác nhận"
"New Newsletter Template","New Newsletter Template"
"New Template","New Template"
"Newsletter","Newsletter"
"Newsletter Message Preview","Newsletter Message Preview"
"Newsletter Problem Reports","Newsletter Problem Reports"
"Newsletter Queue","Newsletter Queue"
"Newsletter Section","Newsletter Section"
"Newsletter Sign-up:","Newsletter Sign-up:"
"Newsletter Styles","Newsletter Styles"
"Newsletter Subscribers","Newsletter Subscribers"
"Newsletter Subscription","Đăng ký Newsletter "
"Newsletter Subscription Form Before","Newsletter Subscription Form Before"
"Newsletter Subscriptions","Đăng ký Newsletter"
"Newsletter Templates","Newsletter Templates"
"Newsletter subscription confirmation","Xác nhận đăng ký Newsletter "
"Newsletter subscription success","Đăng ký Newsletter thành công"
"Newsletter unsubscription success","Newsletter unsubscription success"
"No Templates Found","Không tìm thấy Templates"
"No problems found.","No problems found."
"No subscribers selected.","No subscribers selected."
"Not Activated","Không được kích họat"
"Not Sent","Không gởi đượcNot Sent"
"Pause","Dừng"
"Paused","Được dừng"
"Please enter a valid email address.","Xin vui lòng nhập một địa chỉ email hợp lệ."
"Please enter new template name","Xin vui lòng nhập tên template mới"
"Please refer to exeption.log","Please refer to exeption.log"
"Please select subscriber(s)","Please select subscriber(s)"
"Preview","Xem trước"
"Preview Template","Preview Template"
"Processed","Processed"
"Queue Date Start","Queue Date Start"
"Queue Finish","Queue Finish"
"Queue Information","Queue Information"
"Queue Newsletter...","Queue Newsletter..."
"Queue Start","Queue Start"
"Queue Subject","Queue Subject"
"Recipients","Recipients"
"Reset","Phục hồi"
"Resume","Tiếp tục"
"Return HTML Version","Trở về phiên bản HTML"
"Save As","Save As"
"Save Newsletter","Lưu Newsletter lại"
"Save Template","Lưu Template lại"
"Save and Resume","Lưu và tiếp tục"
"Selected problem subscribers have been unsubscribed.","Selected problem subscribers have been unsubscribed."
"Selected problems have been deleted.","Vấn đề được chọn đã bị xóa."
"Sender","Người gởi"
"Sender Email","Người gởi Email"
"Sender Name","Tên người gởi"
"Sending","Gởi"
"Sent","Đã gởi"
"Sign Up for Our Newsletter:","Sign Up for Our Newsletter:"
"Sign up for our newsletter","Sign up for our newsletter"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Xin lỗi, quản trị từ chối đăng ký cho guest. Xin vui lòng <a href=""%s"">đăng ký</a>."
"Start","Start"
"Status","Status"
"Store","Store"
"Store View","Store View"
"Subject","Subject"
"Submit","Submit"
"Subscribe","Subscribe"
"Subscribed","Subscribed"
"Subscriber","Subscriber"
"Subscribers","Subscribers"
"Subscribers From","Subscribers From"
"Subscription Options","Subscription Options"
"Success Email Sender","Người gởi Email thành công"
"Success Email Template","Success Email Template"
"Template Content","Nội dung Template"
"Template Information","Thông tin Template"
"Template Name","Tên Template"
"Template Styles","Template Styles"
"Template Subject","Template Subject"
"Template Type","Template Type"
"Thank you for your subscription.","Cảm ơn bạn đã đăng ký"
"The subscription has been removed.","Đăng ký đã được gỡ bỏ."
"The subscription has been saved.","Đăng ký đã được lưu."
"There was a problem with the subscription.","Có một vấn đề với việc đăng ký."
"There was a problem with the subscription: %s","Có một vấn đề với việc đăng ký: %s"
"There was a problem with the un-subscription.","Có một vấn đề với việc không đăng ký."
"This email address is already assigned to another user.","Địa chỉ email này đã được gán cho một người dùng khác."
"Type","Type"
"Unconfirmed","Không được xác nhận"
"Unsubscribe","Không đăng ký"
"Unsubscribe Selected","Unsubscribe Selected"
"Unsubscribed","Không được đăng ký"
"Unsubscription Email Sender","Unsubscription Email Sender"
"Unsubscription Email Template","Unsubscription Email Template"
"View Newsletter","Hiển thị Newsletter"
"Website","Website"
"You have been unsubscribed.","Bạn đã bỏ đăng ký"
"Your subscription has been confirmed.","Đăng ký của bạn đã được xác nhận."
