"Abandoned Carts","Abandoned Carts"
"Abandoned carts","Abandoned carts"
"Action","Action"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Compare","Thêm vào Compare"
"Add to Wishlist","Thêm vào Wishlish"
"Any","Any"
"Applied Coupon","Applied Coupon"
"Applies to Any of the Specified Order Statuses","Applies to Any of the Specified Order Statuses"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation."
"Are you sure?","Bạn có chắc không?"
"Avg. Approved Rating","Avg. Approved Rating"
"Avg. Rating","Avg. Rating"
"Bestsellers","Sản phẩm bán nhiều"
"Bought from wishlists","Bought from wishlists"
"CSV","CSV"
"Carts","Carts"
"Catalog Category (Without Subcategories)","Catalog Category (Without Subcategories)"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Coupons","Coupons"
"Coupons Usage Report","Coupons Usage Report"
"Created At","Created At"
"Current Month Starts","Current Month Starts"
"Customer","Khách hàng"
"Customer Name","Tên khách hàng"
"Customer Tags","Customer Tags"
"Customers","Khách hàng"
"Customers Report","Báo cáo khách hàng"
"Customers Reviews","Xem lại khách hàng"
"Customers Tags","Customers Tags"
"Customers by Number of Orders","Khách hàng theo giá trị hóa đơn"
"Customers by Orders Total","Khách hàng theo tổng hóa đơn"
"Customers by number of orders","Khách hàng theo giá trị hóa đơn"
"Customers by orders total","Khách hàng theo tổng hóa đơn"
"Customers that have wishlist: %s%","Khách hàng mà có wishlist: %s%"
"Dashboard","Dashboard"
"Day","Day"
"Default Recently Compared Products Count","Default Recently Compared Products Count"
"Default Recently Viewed Products Count","Default Recently Viewed Products Count"
"Description","Mô tả "
"Detail","Chi tiết"
"Downloads","Downloads"
"Email","Email"
"Empty Rows","Dòng trống"
"Excel XML","Excel XML"
"Filter","Filter"
"First Name","Tên"
"From","Từ"
"Guest","Khách"
"Hits","Hits"
"ID","ID"
"IP Address","Địa chỉ IP"
"Index model name must be defined","Index model name must be defined"
"Invalid date specified.","Ngày không hợp lệ được xác định."
"Invoiced","Invoiced"
"Items in Cart","Items in Cart"
"Last Name","Họ"
"Last Review","Last Review"
"Link","Liên kết"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Danh sách sản phẩm hiện tại đang được so sánh và được gỡ bỏ từ danh sách compare bởi người viếng thăm"
"List of Products Recently Viewed by Visitor","Danh sách sản phẩm hiện tại được hiển thị bởi người viếng thăm"
"Low Stock","Low Stock"
"Low stock","Low stock"
"Match Period To","Match Period To"
"Month","Month"
"Most Viewed","Xem nhiều nhất"
"Name","Tên"
"New Accounts","Tài khỏan mới"
"No","No"
"Number Added","Number Added"
"Number Fulfilled","Number Fulfilled"
"Number Of Reviews","Number Of Reviews"
"Number Purchased","Number Purchased"
"Number Viewed","Number Viewed"
"Number of Items","Number of Items"
"Number of New Accounts","Số tài khỏan mới"
"Number of Products to display","Số sản phẩm hiển thị"
"Number of Reviews","Number of Reviews"
"Number of Times Deleted","Số lần bị xóa"
"Number of Total Tags","Number of Total Tags"
"Number of Unique Tags","Number of Unique Tags"
"Number of Views","Số lần xem"
"Number of items bought from a wishlist: %s","Số lần sản phẩm được mua từ wishlist: %s"
"Number of times wishlists have been shared (emailed): %s","Number of times wishlists have been shared (emailed): %s"
"Number of wishlist conversions: %s","Number of wishlist conversions: %s"
"Number of wishlist referrals: %s","Number of wishlist referrals: %s"
"Number of wishlists: %s","Number of wishlists: %s"
"Order Status","Trạng thái hóa đơn"
"Order Taxes Report Grouped by Tax Rate","Order Taxes Report Grouped by Tax Rate"
"Orders","Orders"
"Out of stock","Hết hàng"
"Period","Period"
"Poducts Report","Poducts Report"
"Popular Tags","Popular Tags"
"Popularity","Phổ biến"
"Price","Giá"
"Product Name","Tên sản phẩm"
"Product Reviews","Product Reviews"
"Product SKU","SKU của sản phẩm"
"Product Tags","Product Tags"
"Products","Sản phẩm"
"Products Ordered","Sản phẩm được đặt hàng"
"Products Report","Báo cáo sản phẩm"
"Products Reviews","Products Reviews"
"Products Tags","Products Tags"
"Products in carts","Sản phẩm trong giỏ hàng"
"Purchases","Mua"
"Quantity Ordered","Số lượng được đặt"
"Quantity of Items","Quantity of Items"
"Recently Compared","Recently Compared"
"Recently Compared Products","Recently Compared Products"
"Recently Viewed","Đang bị xem"
"Recently Viewed Products","Sản phẩm đang bị xem"
"Recently Viewed/Compared Products","sản phẩm đang bị xem/so sánh"
"Refresh Lifetime Statistics","Refresh Lifetime Statistics"
"Refresh Statistics","Refresh Statistics"
"Refresh Statistics for the Last Day","Refresh Statistics for the Last Day"
"Refunds","Hòan lại"
"Report","Report"
"Reports","Reports"
"Results","Results"
"Revenue","Lợi nhuận"
"Review","Review"
"Reviews","Reviews"
"Reviews for %s","Reviews for %s"
"Sales","Sales"
"Sales Report","Sales Report"
"Search Query","Câu truy vấn tìm kiếm"
"Search Terms","Điều khỏan tìm kiếm"
"Select day of the month.","Chọn ngày của tháng."
"Shipping","Vận chuyển"
"Shopping Cart","Giỏ hàng"
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Show Actual Values","Hiển thị giá trị thực"
"Show Report","Show Report"
"Show for Current","Show for Current"
"Specified","Được xác định"
"Statistics","Thống kê"
"Stock Qty","Số lượng hàng hóa"
"Submitted In","Submitted In"
"Submitted On","Submitted On"
"Subtotal","Subtotal"
"Tag","Tag"
"Tag ""%s"" details","Tag ""%s"" details"
"Tag Detail","Tag Detail"
"Tag Name","Tag Name"
"Tag Use","Tag Use"
"Tags Submitted by %s","Tags Submitted by %s"
"Tags submitted to %s","Tags submitted to %s"
"Tax","Tax"
"Title","Tiêu đề"
"To","To"
"Total","Tổng cộng"
"Total Invoiced vs. Paid Report","Total Invoiced vs. Paid Report"
"Total Ordered Report","Total Ordered Report"
"Total Refunded Report","Total Refunded Report"
"Total Shipped Report","Total Shipped Report"
"Total Tags","Total Tags"
"Total invoiced","Total invoiced"
"Total refunded","Total refunded"
"Updated At","Updated At"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Visible In","Visible In"
"Wishlist Report","Wishlist Report"
"Wishlist vs. Regular Order","Wishlist vs. Regular Order"
"Wishlists","Wishlists"
"Year","Year"
"Year-To-Date Starts","Year-To-Date Starts"
"Yes","Yes"
"Your Recently Compared","Your Recently Compared"
"Your Recently Viewed","Your Recently Viewed"
"undefined","undefined"
